#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,numberOfBusinessFacilities,businessFacilityBuildingArea,totalFloorAreaOfBusinessFacilities,numberOfCommercialFacilities,commercialFacilityBuildingArea,TotalFloorAreaOfCommercialFacilities,NumberOfAccommodationFacilities,AccommodationBuildingArea,AccommodationTotalFloorArea,NumberOfCommercialComplexFacilities,CommercialComplexBuildingArea,TotalFloorAreaOfCommercialComplex,NumberOf Houses,ResidentialBuildingArea,TotalFloorAreaOfTheHouse,numberOfApartmentBuildings
12,37201007002,3,,,,37201,高松市,瓦町２丁目,11,936.58,4796.27,48,5410.37,24712.71,1,85.65,632.55,,,,88,4579.53,15111.69,1
13,372010080,2,,,,37201,高松市,古馬場町,23,1540.53,5142.63,82,9087.35,36084.64,2,200.56,698.29,,,,45,2433.41,7720.53,2
14,372010090,2,,,,37201,高松市,御坊町,4,296.46,1090.79,18,1326.02,5162.66,2,266.64,1403.75,,,,33,1943.52,5703.42,
15,372010100,2,,,,37201,高松市,今新町,5,650.09,4601.25,19,1628.99,5612.79,1,156.67,870.25,,,,34,2001.23,6760.23,2
16,372010110,2,,,,37201,高松市,大工町,4,562.04,3770.2,17,1419.83,5180.59,2,174.86,449.04,,,,62,4899.48,13156.1,3
17,372010120,2,,,,37201,高松市,百間町,8,824.16,3688.58,23,4252.16,7662.59,4,1937.26,11553.2,,,,30,2265.17,11637.74,
18,372010130,2,,,,37201,高松市,片原町,5,425.96,1280.82,28,3315.06,10828.56,,,,,,,23,1587.19,4395.77,2
19,372010140,2,,,,37201,高松市,鶴屋町,,,,2,915.01,915.01,2,431.37,2111.73,,,,53,2840.77,7924.47,3
20,372010150,2,,,,37201,高松市,本町,9,1140.64,3156.55,2,152.92,293.38,1,48.76,77.68,,,,132,6942.3,17580.97,11
21,372010160,2,,,,37201,高松市,北浜町,6,698.39,1933.33,2,56.9,56.9,,,,,,,102,6344.84,18818.07,4
22,37201017001,3,,,,37201,高松市,朝日町１丁,4,1879.92,4440.09,,,,,,,,,,3,261.08,418.65,
23,37201017002,3,,,,37201,高松市,朝日町２丁,6,3218.41,5858.47,6,1763.71,2670.95,,,,,,,97,5338.91,9337.29,2
24,37201017003,3,,,,37201,高松市,朝日町３丁,5,977.56,2269.83,1,1491.97,2756.49,,,,,,,12,527.48,684.46,
25,37201017004,3,,,,37201,高松市,朝日町４丁,41,7486.42,17848.72,1,33.58,33.58,,,,,,,21,1966.98,2002.98,
26,37201017005,3,,,,37201,高松市,朝日町５丁,35,8997.4,17107.41,2,173,185,,,,,,,19,5808.96,5968.3,2
27,37201017006,3,,,,37201,高松市,朝日町６丁,12,6288.78,17725.75,,,,,,,,,,5,59.7,59.7,
28,372010180,2,,,,37201,高松市,東浜町,2,187.46,744.23,1,138.84,277.68,,,,,,,32,1878.96,5112.01,4
