"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","ヘアーギャラリーシゲキス","761-8074","高松市太田上町９８０番地５",,"石川　盛幹",,,,,,"第4-3号","H04.06.09"
"美容所","福家美容室","761-8084","高松市一宮町４１−３",,"福家　嘉代子",,,,,,"第4-9号","H04.09.14"
"美容所","くぼたに美容室","760-0079","高松市松縄町１１３１−２２",,"久保谷　寛子",,,,,,"第4-10号","H04.09.14"
"美容所","美容室　アモレ","760-0062","高松市塩上町二丁目８−１３",,"岩﨑　美保子",,,,,,"第4-12号","H04.09.17"
"美容所","モリ美容室","761-8073","高松市太田下町２３０６","モリビル２階","有限会社　もり","代表取締役","森　由尚","香川県","高松市太田下町２３０６",,"第4-14号","H04.11.10"
"美容所","美容室　Ｎｅｏ−","761-1706","高松市香川町川東上２２４０−１",,"谷　俊二",,,,,,"第4-17号","H04.12.04"
"美容所","ビューティサロン　千鶴子","761-8033","高松市飯田町１０１４−６",,"平井　千鶴子",,,,,,"第4-18号","H04.12.11"
"美容所","三宅美容室","760-0044","高松市御坊町１０−２","山東ビル２階","三宅　純一",,,,,,"第4-20号","H05.02.01"
"美容所","マリモ美容室","761-0301","高松市林町２５５８−２",,"二川　茂子",,,,,,"第4-21号","H05.02.16"
"美容所","美容室　Ｊｕｇｇｌｅｒ（ジャグラー）","760-0054","高松市常磐町一丁目９−４","瓦町ステーションＦＴビル３階","藤本　孝",,,,,,"第4-22号","H05.03.11"
"美容所","ヘアーサロン　アキ","761-8014","高松市香西南町６１６","坂下マンション１階","安岐　治代",,,,,,"第5-1号","H05.04.08"
"美容所","美容室ミス・ハート","761-0113","高松市屋島西町２４８６−２",,"酒井田　敏雄",,,,,,"第5-3号","H05.05.06"
"美容所","ビューティ　つくだ","761-8044","高松市円座町１４１７−８",,"佃　順子",,,,,,"第5-7号","H05.05.21"
"美容所","美容室　アトリエ　ＹＯＺＯ","769-0104","高松市国分寺町新名７６３−１２",,"川北　洋一",,,,,,"第5-4号","H05.06.16"
"美容所","セゾン美容室","760-0053","高松市田町７−１","田町アオイビル２階","稲毛　康二",,,,,,"第5-14号","H05.09.30"
"美容所","株式会社　アートネイチャー　高松店","760-0056","高松市中新町１４−１","アートネイチャービル５Ｆ","株式会社　アートネイチャー","代表取締役","五十嵐　祥剛","東京都","渋谷区代々木三丁目４０番７号",,"第5-16号","H05.11.01"
"美容所","ＳＡＥＫＩ美容室","760-0073","高松市栗林町一丁目１５番３６号",,"佐伯　洋子",,,,,,"第5-21号","H06.02.28"
"美容所","テラス＆美","761-0122","高松市牟礼町大町８２７−１１",,"國方　照茂",,,,,,"第6-1号","H06.04.06"
"美容所","美容室　原宿","761-8044","高松市円座町５５１−１",,"飯間　浩明",,,,,,"第6-4号","H06.05.02"
"美容所","美容室　ＴＷＯ　ＳＴＥＰ","760-0018","高松市天神前７−２５",,"高都　京治",,,,,,"第6-6号","H06.05.23"
"美容所","双葉美容室","761-0312","高松市東山崎町２０６−５",,"植田　典代",,,,,,"第6-12号","H06.07.04"
"美容所","ビューティサロン巴里","769-0104","高松市国分寺町新名４４０−２１","松岡ビル２階","河野　朱美",,,,,,"第6-3号","H06.07.15"
"美容所","美容室　アリス","760-0079","高松市松縄町１０１２−８−１−Ｂ",,"岡　律子",,,,,,"第6-14号","H06.08.10"
"美容所","美容室　ハンズ","761-8072","高松市三条町１０６−１０","カマノマンション","平田　文代",,,,,,"第6-16号","H06.09.02"
"美容所","レーヌ美容室","761-8014","高松市香西南町３５−２９",,"藤村　哲子",,,,,,"第6-20号","H06.11.29"
"美容所","みえこ美容室","761-8084","高松市一宮町４７０−１",,"谷本　美枝子",,,,,,"第6-23号","H06.12.02"
"美容所","Ｓ＆Ｓさかもと　イオン高松東","760-0066","高松市福岡町３丁目８−５","イオン高松東２Ｆ","有限会社　美容室さかもと","代表取締役","坂本　勝","香川県","高松市番町５丁目１番１１号",,"第6-31号","H07.03.20"
